Java程序员,珠海科亚信息技术有限公司,4.5-6千/月,08-02,外资（非欧美）,50-150人,计算机软件,,珠海|2年经验|本科|招20人,【,珠海市唐家湾镇哈工大路1号-1-C203,"CoreSolutionsisaprivatelyheldinformationtechnologyandservicesfirmspecializinginglobalsourcingsolutions.CoreSolutionsistheonlysolutionproviderthathelpsbothbuyersandsellersstreamlinebusinessprocessesacrosstheend-to-endsourcinglifecycle-fromproductdevelopmenttocosting,fromQAtoQC,fromordertopayment.CoreSolutionsoffersapowerfulsetofelectronicandweb-basesolutionsthatdramaticallyimproveProductLifecycleManagement(PLM),GlobalSourcingManagement,GlobalVendorAutomationandSupplyChainCollaboration.Leadingretailers,wholesalers,brandmanufacturersandthousandsofvendorsaroundtheworlduseCoreSolutions'softwareandservicestocoordinateactivities,synchronizedata,increasevisibilityandeliminatemanualprocesses.CoreSolutionsisbasedinHongKongwithofficesinUSandChina.CoreSolutions'CBXsuiteisthemostpowerfulsetofglobalsourcingsoftwareandservicestohelpretailers,wholesalersandbrandedmanufacturersstreamlineProductDevelopment,Sourcing,OrderManagement,ProductionManagement,QualityManagement,LogisticsandFinance.CoreSolutions建立于1995年，在IT咨询顾问和企业软件开发一直保持着领先的地位。现在，以香港为中心，本公司在美国，上海，珠海等地方建立起了分公司。我们的团队，专注于企业软件的开发（我们的旗舰产品iDEX/CBX－企业信息交换平台）并且为各领域的领头企业提供专业的解决方案，如SCM，ERP，BusinessIntelligence等。我们的客户包括渣打银行，汇丰银行，欧尚,家乐福,CloesGroup,SwireBeverages，SanMiguel，CrownWorldwide，LimitedBrands，等其他著名企业。于2003年在中国珠海投资成立了珠海科亚信息技术有限公司，注册资金为350万港币，座落于珠海的高新区--珠海新经济资源开发港。现在，我们珠海的技术团队具有一些非常有挑战性的工作机会给愿意接受挑战的计算机专业人才。我们非常欢迎聪明，有强烈的求知欲，高忠诚度，和不成功决不罢休的态度的计算机专业人才来应聘。应聘者的资料会被严格的保密。公司网站:http://www.coresolutions.com[公司的优势及提供的福利]：1.外企灵活、开放的管理模式，民主、人性化的制度及乐于分享技术的企业文化；2.良好的培训及发展空间，让每位员工能发挥所长；3.每天八小时，五天工作制；4.至少一年一次的提薪机会；5.从入职当月起办理社保（养老、医疗、失业、工伤、生育）；6.工作满一周年，享有带薪假期10天；7.其他节假日按国家规定执行；8.可接收人事档案(公司代缴档案费)；公司有党支部可接收党员关系；9.符合条件者可申请入公司集体户口；10.如有需要可申请安排员工宿舍；"
C#程序员,武汉安邦致远科技有限公司,0.8-1.5万/月,08-01,民营公司,150-500人,计算机软件,绩效奖金 年终奖金 员工旅游 专业培训 餐饮补贴 社保五险,武汉-洪山区|2年经验|大专|招2人,岗位职责：1、参与项目规划工作，协助架构师和项目经理完成技术方案编写，负责项目核心代码开发；2、负责功能模块的设计模型、数据库设计等总体模块设计；3、完成系统的性能优化和完善工作；4、对所开发的项目进行调试、技术支持以及维护工作。岗位要求：1、计算机及相关专业专科及以上学历，两年以上项目开发经验；2、精通C#语言，熟练运用EntityFramework、Dapper等ORM框架；3、精通SQL性能调优，熟练掌握复杂SQL查询语言的编写，至少掌握SQLServer、MySQL、PgSQL、Oracle10g+等关系数据库中的两种数据库的设计与维护；4、熟练掌握Socket、TCP/IP、多线程、串口通讯等编程技术；5、熟悉WinForm应用/服务的开发与部署；6、熟练使用MVC、WebApi；7、对HTMLJavaScript等前端语言有一定的了解。,武汉市洪山区珞南街道雄楚大道199号（武汉科技大学洪山校区内）,武汉安邦致远科技有限公司是一家专注于行业安全教育领域的平台服务商。公司长期服务于建筑、能源、公共事业行业、在安全数字内容制作，安全教育体验设备生产，安全教育应用软件开发领域具备自主研发、系统集成、平台服务能力。在未来发展中，会一直加大研发能力，建设优质的销售团队，形成强大的服务体系，成为行业安全教育领域的领导品牌。
PHP程序员,广州宜配信息科技有限公司,0.6-1万/月,08-01,民营公司,50-150人,计算机软件,餐饮补贴 五险一金 员工旅游 绩效奖金 专业培训 补充医疗保险 通讯补贴 年终奖金,广州-白云区|1年经验|大专|招2人,,三元里大道1181号志诚商贸中心401,成立于2008年，深耕汽车后市场近十年。现有员工50余名，办公室面积500多平。主平台宜配网（网址）估值超过2亿，每天专业访问量超过3万人，访问页面高达15万个以上，已注册会员为13万多。自2015年11月开通以来，短短两年时间，发展迅速，现已吸纳粉丝超过37000人，并以每天100多的增长量继续攀升。公司专注于汽车零配件行业，依托宜配专业的数据研发团队和强大的软件开发、实施团队，为行业内企业提供整体IT解决方案。宜配秉承“提升汽配企业的专业度和竞争力”的原则，开展网站设计、目录制作、B2B平台推广、汽配管理软件等业务。其中宜配“RCA系列”软件包含零件数据管理，门店、贸易、工业进销存和ERP，以其卓越的实用性，协助500多家汽配企业，成功走上信息化管理的道路。拥有一群在汽车零部件行业领域，网络领域，软件开发等领域出类拔萃的专家联盟。宜配是一个学习型组织，每个团队成员，不看曾经如何，都必须与时俱进！振兴中华汽配，协助中国汽配走向国际。目前正在飞速发展中，急需大力拓展团队，欢迎有志者加盟。联系方式：电话：020-36380371/36380078邮箱：hr@yiparts.com网址：www.yiparts.com联系人：张小姐地址：广州市白云区三元里大道中志诚商贸中心410.
PHP程序员,东莞博准电子科技有限公司,0.8-1万/月,08-01,事业单位,150-500人,检测，认证,员工旅游 专业培训 绩效奖金 包吃包住 员工聚餐,东莞-南城区|2年经验|大专|招2人,"php开发/PHP程序员底薪5000-10000+包吃+包住+高提成+周奖励+月度奖励+优秀表现奖=只要您有能力，薪水不是问题！东莞博准电子科技有限公司(简称BLM)博罗计量是广东省人民政府依法设置的法定计量机构之一,在计量校准技术服务市场独树一帜，做别的公司做不到的事，我们优势明显，我们寻找有能力的伙伴，一起占领服务市场。一份工作有没有发展，就看这个行业有没有前景，计量仪器校准市场发展迅猛，前景光明。只招2个php开发/PHP程序员，速发简历来吧！php开发/PHP程序员岗位职责：1、熟悉html5,javascript等前端开发技术,了解微信小程序的开发规范；2、熟悉后台程序PHP语言开发，有相关开发经验；3、有2年以上开源PHP系统网页设计改版/程序功能修改经验，能独立完成前端改版；4、有BR5以上网站管理经验，熟悉SQL数据库维护，熟悉服务器架设、网络配置和服务器安全策略配置；5、熟悉阿里云服务器、数据库、CDN、DOOS高防等相关产品和百度站长平台优秀录用；php开发/PHP程序员任职要求：1：需要有熟悉原生php开发能力的php后台开发人员,开发用原生,不用框架；2：有认真诚恳的工作态度；3：有过开发微信端应用,如微信公众号开发和微信小程序开发经验；php开发/PHP程序员工作环境及待遇：1、我司给作为php开发/PHP程序员的您，配置了家一样的办公环境！优秀的团队伙伴，高效解决工作难题，团队年轻化，沟通轻松愉快！广阔的发展空间，满足个人发展需求！我们真诚邀请您与我们携手走向科技创新之路，共创智能未来！2、工作时间每天8小时、（6天工作制）周日、法定假日休息，晋升空间大。3、关注员工的发展，管理人员一律从内部选拨（基层~中层~高层~股东）4、php开发/PHP程序员底薪5000-10000+包吃+包住+高提成+周奖励+月度奖励+优秀表现奖=只要您有能力，薪水不是问题！（工资准时）东莞博准电子科技有限公司(简称BLM)博罗计量是广东省人民政府依法设置的法定计量机构之一,包括计量校准中心,技术培训中心,计量仪器销售中心和标准信息中心四个独立营运体,专门从事仪器设备的计量,检定,校准,技术服务,（合作的客户群体有世界五百强与国家事业单位中铁集团、中交、中国石化、中国石油、中国海油、华为、怡宝、景田、TCL、格力、富士康、达利园、银鹭、高速公路工程、铁路建设、市政工程、药品、电子、科技技术、食品等涵盖一千多个行业的大型知名企业，市场发展前景巨大，个人前途无限宽广）。我们公司提供科学人性化管理，员工在享受薪金待遇的同时，还享受国内外旅游等各种福利待遇。公司提供良好的个人职业发展空间，完善的培训体系，晋升空间大，你的付出必将收获具大的回报！我们以一颗真诚的心，等待你的邮件2234463595@qq.com（邮件标题：职位+名字）工作地址：广东省东莞市南城区鸿福路中环财富广场7层716微信公众号：zljlzxbz只有要创建实业的人，才应该加入东莞博准电子科技有限公司！只有要不断超越自己的人，才应该留在东莞博准电子科技有限公司！只有要成就事业的人，才应该领导东莞博准电子科技有限公司！欢迎您的加入博准电子科技！！！来吧，我们一起，为这个世界做点有品质的产品，有品质的生活！公司附近站台：鸿福路口站台、电信局站台乘车路线：1、南城汽车站：乘坐C1路、6路、20路到鸿福路口站台下车2、汽车客运总站：乘坐2路到鸿福路口站台下车3、厚街：乘坐L1路到鸿福路口站台下车4、寮步镇：乘坐L4路到鸿福路口站台下车5、高埗镇：乘坐X5路到电信局站台下车",南城区鸿福路92号中环财富广场7层716号,"东莞博准电子科技有限公司(简称BLM)计量仪器校准服务，前身为博罗仪器校准标准计量所、博罗计量检定所，始建于1981年12月，是政府依法设置的非盈利机构，BLM是广东省博罗质量技术监督局的直属事业单位。BLM通过ISO17025国际计量准则要求，授予在长度、温度、力学、电磁、无线电、时间频率、物理化学127个项目开展仪器校准工作，本所出具的仪器校准证书和计量检测报告具有权威性和公正性，是省内仪器校准领域***、计量校准项目最多的同等机构之一。BLM所从事专业仪器计量校准业务，所出具是计量校准检测数据可溯源到国家计量基准和国际单位制，完全满足ISO9000、TS16949、ISO17025等国际体系的要求.等十大类计量校准专业中的)根据计量专业的分类，本所设立长度、力学、热工理化、电磁、无线电、时间频率、声学、医疗、商品量检测10个专业计量校准检测实验室，拥有包括TektronixDP04104、Fluke5520A、Fluke9640A、Fluke8508A等国内外先进计量检测设备500多台套,仪器设备资产总值达1000多万元，目前已建立社会公用计时标准43，可开展检定/校准项目91项等。本所（BLM）拥有一支经验丰富，专业水平高、综合能力强的技术精英队伍；以精湛的技术、科学的管理，为我们尊贵的客户提供优质的服务，是本所(BLM)一直追崇的目标，以客户为中心是我们一贯坚持的服务理念。在不断丰富服务内容，完善服务方式，提高服务质量等方面做出不断努力！了解更多，欢迎登陆博准官方网站：http://www.jiliangjiance.com联系电话：0769-22810868公众号：zljlzxbz"
PHP开发工程师/程序员,广州思帆信息科技有限公司,4-7千/月,08-01,民营公司,150-500人,互联网/电子商务,五险一金 带薪年假 全勤奖 绩效奖金 弹性工作 加班补贴,广州-番禺区|1年经验|大专|招2人,"1.计算机相关专业；2.精通mysql数据库设计及优化、能够编写存储过程脚本；3.熟悉JQueryXMLAjaxJSONHTML5等前端技术；4.了解wordpress&joomlaCMS系统建站；5.具有良好的沟通和较强的团队合作意识，能够很快适应工作；6.具备良好的代码编程习惯及较强的文档编写能力，态度积极乐观，良好沟通能力。任职要求：1、大专以上计算机相关专业、执行力主动性强、工作细心负责2、熟悉wordpress二次开发；熟练使用Dreamweaver等网页制作工具；3、熟悉Php+mysql,Ajax,javascript,具PHP项目开发经验优先考虑；4、具备良好的编码规范，代码易读，文档清晰；5、具备基础的数据库经验及知识，如MySQL等。6、在以上基础上熟悉HTML5语言或Bootstrap框架优先考虑。工作时间：5.5天制，周一至周六，早8点30分至下午5点30分，中午休息1小时30分福利待遇：严格按照国家法律规定节假日休息，一个月内购买社保，我司是一个年轻有活力的团队，每月组织团建活动。工作地址：广州市番禺区市桥海伦堡创意园4座1栋708-709",禺山西路海伦堡创意园4座1栋709,广州思帆信息科技，是一家跨境电商企业，集网站推广，网站建设，开发生产为一体的B2C科技公司。2012年团队式创业，2014年成立，并在亚马逊注册独立产品商标，思帆立志把产品一带一路，坚持自己开发、设计、生产、运营产品公司现主要以生日派对类产品、快速消耗品以及礼品为主，目前已开发上千款产品。思帆以Amazon、ebay、wish等国际知名第三方网购平台为销售载体，涵盖美国、德国、法国、西班牙等多语种站点，业务覆盖欧洲，美洲等多个国家和地区。思帆拥有优秀的人才团队和自主供应链。通过我们强大的开发、设计、运营团队、科学的管理、以及一流的服务，致力为全球客户提供高品质产品和服务。公司将用最开放的态度，为员工营造最优厚的福利待遇、年轻人性化管理模式、提供多通道平台发展快速晋升。打造国内一流的跨境电商企业，期待您的加入！发展历程：2012年1月团队型创业2012年3月独立站事业部成立2014年6月亚马逊产品运营部成立2014年8月自主仓库成立2018年6月亚马逊产品开发部独立为事业部亚马逊运营部独立为事业部2018年8月工厂成立2019年12月立体贺卡部（研发产品）成立2020年3月深圳子公司成立公司福利：【工作时间】：周一到周五：8：30-17：30（午休1个半小时，一天工作7.5小时）周六：8：30-12：00【吃】：提供工作日午餐；【喝】：定期提供下午茶；【玩】：免费年度旅游、团队拓展、各种球类比赛、各主题cosplay等；【乐】：我司是一个年轻有活力的团队，每月组织团建活动（员工生日会、唱K、别墅轰趴、烧烤、野餐、游乐场、聚餐等）；【完整的薪酬体系】：部门式、个人式年底分红、每月KPI考核奖励、带薪年假、根据绩效表现每年有调薪机会；【社会保障】：入职满一月购买五险、严格按照规定签订劳动合同；【完善的培训制度：】公司提倡自我迭代、成长，实行每周一分享，每周一培训；多形式的外出培训、学习机制（即使新员工试用期内也可参与）。【假日福利】：法定节假日、节日礼品、节日福利活动、婚假、产假、陪产假等。【思帆专属文化】：（1）员工购买与工作相关的书籍，公司将给予50%的补贴；（2）办公室内设有图书角，员工可相互分享书籍；（3）每周三为思帆专属运动日，员工可提前下班参加室内外运动；（4）聘请企业高管、行业大咖等定期到公司开展分享，为你的职业发展保驾护航。【团队氛围】：公司团队为90后、95后，工作氛围轻松、融洽。工作地址：广州市番禺区市桥海伦堡创意园4座1栋708、709、807交通路线：附近公交车站：中颐创意创业园（番16路、番9、番26、番129、番108、番108B）附近地铁站：三号线市桥地铁站B出口步行2分钟（转番16直达创意园区）
UE4程序员,广东钜豪照明电器有限公司,6-8千/月,08-01,民营公司,150-500人,电子技术/半导体/集成电路,节日福利 专业培训 员工旅游,佛山-禅城区|无需经验|本科|招1人,,佛山市禅城区季华四路创意产业园5号楼525-526,广东钜豪照明电器有限公司，创立于1998年，是一家集产品研发、生产、销售于一体的多元化大型照明灯饰企业，产品远销欧洲、美洲、非洲及亚洲等世界各地。钜豪先后中标北京人民大会堂、香格里拉大酒店、希尔顿酒店、威斯汀酒店、铂尔曼酒店等代表性工程项目，被业内专家称为世界豪华星级酒店照明首选品牌，谌称光明事业的典范，并成为恒大地产指定供应商。钜豪荣获“***”、“广东省著名商标”、“中国***”、“广东省名牌产品”、“国家质检总局质量抽查连续六年合格企业”等荣誉称号，并且连续9年被评为“广东省守合同重信用企业”，于2015年被认定为国家高新技术企业。公司秉承“为了好，要更好”的企业精神，以“光健康专家”为己任，以“为你我节能”为宗旨，为把钜豪建设成为具有国际竞争力的民族企业而奋斗。现因发展需要，诚聘英才加盟！
程序员/软件开发工程师,深圳市浩和自动化输送设备有限公司,6-8千/月,08-01,民营公司,500-1000人,机械/设备/重工,年终奖金 带薪假期 五险一金 绩效奖金 专业培训 周末双休 5天7小时 员工旅游,异地招聘|3-4年经验|中专|招5人,职位类别：软件工程师岗位要求：1、计算机、电子、自动化等相关专业专科以上学历；2、精通.net体系架构、C#程序开发、sqlservr2008数据库、熟悉asp.netcore/java编程；3、逻辑思维清晰，沟通理解能力强，学习能力强；4、具有丰富的需求沟通、软件架构设计等经验；5、3-4年以上开发经验，具有设计和开发自动化信息化相关软件经验者优先上班时间：5天7小时，周末双休,惠城区麦地路75号岭南教育,"深圳市浩和自动化输送设备有限公司,是一家于研发，生产，销售于一体的非标自动化智能设备供应商"
程序员,江苏良旭智能科技有限公司,4-8千/月,08-01,民营公司,少于50人,互联网/电子商务,,南京-浦口区|2年经验|大专|招2人,岗位职责：1、完成公司网站功能模块编码，相关开发文档的整理与编写；2、参与网站平台相关业务模块的分析、设计；3、负责公司网站与其他应用程序接口应用开发；4、维护公司网络平台稳定；5、根据公司业务发展需求，及时有效推出改进项目。任职要求：1、从事程序员工作1-3年，英语通过四级优先；2、掌握PHP、HTML、DIV、CSS、Javascript、ajax、jQuery专业知识；3、热爱编程工作，注重团队合作。4、良好的代码习惯，要求结构清晰、命名规范、逻辑性强、代码冗余率低；,浦滨路88号浦口高新区科创广场5栋406室,江苏良旭智能科技有限公司是一家集智能科技研发，软件开发、销售，信息技术服务于一体的综合型创业公司，公司自成立至今，本着以诚为本，自强不息的经营理念，借助祖国经济迅猛发展的东风，以及自身对世界电子商务发展趋势的敏锐洞察力，实现公司稳定发展。公司下辖跨境电商板块近年发展势头良好，产品涉及玩具，服装，电子，实验仪器设备等数十个领域，业务覆盖美国，欧洲，澳大利亚，新加坡等上百个国家和地区，现因业务拓展需要，面向社会招聘精英人才！公司跨境电商业务在职员工32人，分别供职于江苏南京、安徽合肥办公室，员工素质普遍较高，博士学历4人，硕士学历1人，开拓能力强。南京办公室位于浦口高新区科创广场，环境优越，交通便利。公司提供良好发展空间以及具有竞争力的福利：丰厚薪资，周末双休，五险一金，年度体检，员工旅游，节日福利，年终奖金，出国培训机会等等。
金牛区招嵌入式程序员,辽宁荷紫电子商务有限公司,6-8千/月,08-01,民营公司,500-1000人,互联网/电子商务,面议,成都-金牛区|2年经验|大专|招1人,岗位职责:1、从事嵌入式、单片机等产品的开发2、完成软件系统代码的实现，编写代码注释和开发文档3、根据设计文档或需求说明完成代码编写，调试，测试和维护4、分析并解决软件开发过程中的问题，对系统管理软件进行技术支持和维护任职资格：1.电子、计算机、通信、自动化相关专业，大专及以上学历，2年以上嵌入式软件开发经验；2.熟悉C语言编程，熟悉Keil，IAR等开发环境，具有基本的硬件知识；能够看懂原理图；3.有8051、STM32单片机编程经验，且编码规范；4.对单片机外设RS232，RS485，SPI，IIC等电路熟悉5.有以太网，GPRS，ESP8266，ESP32，CAN，USB等通信方面的经验者优先；6.具有团队精神，责任感，积极主动，沟通能力强。职位福利：五险/大小休/十三薪/具体薪资可面议,成都市金牛区二环路西三段17号（彩舍大厦）三楼3R,"荷紫电商专业团队秉承“以服务求生存，以信誉求发展”的经营理念，把“客户的满意是评价我们工作的***标准”作为服务宗旨，始终坚持以客户的需求和满意为核心，累计为万用户，为中小型企业网站提供高速稳定的服务，从而使公司不断发展壮大，并赢得了较大的市场份额，成为企业服务行业中的佼佼者。公司将一如既往的致力于为社会各界提供更完善、更完美的企业服务，精心铸造""路通""品牌！并愿与业界同仁携手，共建行业自律维护市场环境，树立行业新风，推动行业发展，引领网络网+企业服务新潮流，构建和谐社会之和谐企业服务新篇章！公司一直本着年年服务提升年，全体员工将继续严格自律，诚信经营，不断学习进步的企业精神，不断提高自身素质技能，确定目标，实现跨越。"
C#（.NET）软件开发工程师程序员（急聘）,湖北安式软件有限公司,0.3-1万/月,08-01,民营公司,50-150人,计算机软件,五险一金 绩效奖金 全勤奖 节日福利 专业培训 加班补贴 员工旅游 交通补贴 年终奖金 股票期权,襄阳|2年经验|大专|招10人,湖北安式软件有限公司是一家专业从事软件定制开发的企业，为各类企业、行政事业单位、部队等提供专业化软件定制开发、软件服务外包等服务。安式公司创立于2011年，由省、市、区三级政府基金投资控股，国资控股约32%，总部位于湖北省襄阳市，全国多地设有分公司，员工120多人，其中80%为软件研发工程师，是当地软件行业龙头企业。（到中大规模的公司上班，工作稳定、晋升机会多、团队氛围好，欢迎您的加入。）1、需2年及以上相关工作经验，需全日制大专及以上学历，具有(硕士、博士)学位的享受优先及特殊福利待遇。2、精通.net及面向对象设计开发，对部分.net技术有深入研究。3、了解掌握B/S、C/S架构开发，了解掌握常用数据库。4、有较强的逻辑思维能力，善于分析、归纳、解决问题。5、有良好的沟通能力和文档编写能力。6、对互联网产品有一定程度的理解。,追日路2号襄阳软件园D栋4楼整层,湖北安式软件有限公司是一家专业从事软件定制开发的企业，为各类企业、行政事业单位、部队等提供专业化软件定制开发、软件服务外包等服务。安式公司创立于2011年，由省、市、区三级政府基金投资控股，国资控股约32%，总部位于湖北省襄阳市，全国多地设有分公司，员工120多人，其中80%为软件研发工程师，是当地软件行业龙头企业。
skynet游戏后端程序员,广州古藤动漫科技有限公司,1.5-2万/月,08-01,民营公司,50-150人,网络游戏,员工旅游 人性化管理 高薪 工作餐,广州-天河区|2年经验|本科|招1人,【岗位职责】负责游戏后端基于skynet的开发以及维护【岗位要求】1、计算机相关专业毕业，本科及以上学历，2年以上游戏开发经验2、熟悉Linux系统，精通游戏服务器端开发，有底层架构经验者优先3.熟悉skynet游戏引擎，有使用skynet开发游戏后端的经验4、掌握和熟练使用C和Lua语言5、熟悉常用数据结构和算法，熟悉分布式编程的优先6、具有较强沟通表达能力7.熟悉TCPIP协议，HTTP协议，socket编程，redis和mongodb等数据库系统,广州市天河区长湴白沙水路93号睿志创意园D座,古藤动漫集结着一群10年以上网易资深美术背景的业内高手和对游戏有着执着的人，我们挚爱游戏，我们衷于设计，我们拒绝平庸，我们崇尚创意，我们力求定义标准与体验。我们拥有同一个梦想，以专业的力量致力于成就国内*一流游戏合作平台。官网：www.dooton.com价值观：始终坚信审美的力量，不做日久生情的设计，只做一见钟情的产品。1）安心：丰厚薪资，妈妈再也不用担心我的钱包了。2）贴心：下午茶、包餐，温暖的胃，无忧地工作。3）开心：福利休假（产假、婚假等）、节日福利（粽子、儿童节礼物等一样不少），还有各种想到和想不到的活动，我们在公司每天都能开开心心。4）舒心：优美的办公环境，轻松的氛围，人性化的管理，让我们能够自由地实现自己的梦想。广州古藤动漫科技有限公司期待您的加入！有意投递者，请将简历以及作品发送到邮箱hr@dooton.com
PHP程序员,深圳市迅优电子科技有限公司,0.8-1.5万/月,08-01,民营公司,50-150人,互联网/电子商务,五险一金 绩效奖金 全勤奖 节日福利 专业培训 下午茶歇 交通补贴 员工生日会 不定时团建 年轻群体,深圳-宝安区|2年经验|本科|招1人,"该岗位是全栈工程师，需要有过物联网卡相关设备平台的开发维护经验，合适欢迎投递简历。岗位职责:1.负责公司相关产品业务平台的开发；2.参与相关系统架构的设计和评审；3.负责所属项目数据库、程序模块的设计、编码和内部测试；4.负责公司后台系统的维护，保证系统的稳定运行；5.编写APP接口，协助完成相关协议开发文档岗位要求：1.本科及以上学历，2年以上工作经验；2.熟悉网站性能优化，了解系统安全；3.熟练掌握HTML/XHTML，CSS，JAVASCRIPT，JQ，AJAX等web页面技术；4.熟悉一种或多种PHP开发框架，如laravel、CI、Yii；5.熟悉AngularJS和NodeJS优先；6.熟悉mysql数据库设计，熟悉sql调优；7.熟练掌握PHP各种api接口研发；8.能够独立完成服务器环境配置、网站整站(功能)开发，熟悉Linux基础命令和操作优先；9.有优良的编程风格和习惯，富于团队精神和敬业精神,良好的团队意识以及自我学习能力；",宝源路名优采购中心A座708,公司简介：深圳市迅优电子科技有限公司（即深圳市澳先科技开发有限公司）澳先科技，成立于2006年，主营手机、平板电脑、智能穿戴、路由器、MBB等数码电子产品，集门店零售、运营商供货、电子商务B2B、B2C模式为一体的平台型销售公司。现已是华为全国核心代理，具备华为全品首销的资质。在全国几百家代理商中，排名占据前三，年销售额3亿以上，并逐年递增。澳先科技在天猫、京东线上平台，运营十余家店铺，其中不乏千万级大店。在深圳线下开设九家华为体验店，而且现下正在不断扩增。澳先科技是一家年轻的电子商务公司，现在职员工70人以上，平均年龄26岁。具备现代化商务办公场所，开放式管理平台，多样化职业晋升通道。澳先科技拥有合理的组织架构，强大的电商团队，其中，运营合伙人2位，高级运营店长6人，资深运营师4人，运营师7人，客服50人，美工设计人员5人。始于梦想，忠于团结，澳先以此为立身之本。服务客户，成就员工，澳先以此为发展之源。------------------------------------------------------------------------------------------------------公司愿景：为客户创造价值，为员工搭建人生成功舞台，为社会做出应有贡献。2015年-2018年，澳先在众多上市电商公司、在天猫、在京东等强劲的对手中脱颖而出，连续四年荣获华为***销售贡献奖！2019年，我们不忘初心、傲视群雄、敢于争先、全速前进！欢迎优秀的您加入我们优秀的团队。奔跑吧，2019！--------------------------------------------------------------------------天猫店之一：https://huaweizre.tmall.com/京东店之一：https://mall.jd.com/index-185352.html
java程序员、软件工程师实习 +奖金双休,长春市红彩旗彩印有限公司,3-4.5千/月,08-01,民营公司,150-500人,印刷/包装/造纸,补充医疗保险 补充公积金 五险一金 员工旅游 交通补贴 餐饮补贴 绩效奖金 年终奖金 弹性工作 定期体检,长春|中专|招5人,"1、辅助进行系统的功能定义,程序设计；2、协助测试工程师制定测试计划，定位发现的问题；3、配合项目经理完成相关任务目标。岗位要求：任职要求：1、18-28周岁；2、不限经验，初期有工程师指导3、能在行业长期稳定发展4、可接收优秀应届毕业生、实习生1、上班时间：周一至周五9:00-17:00午休1个小时；2、员工入职后既享受五险一金；3、享受法定节假日休息，带薪年假；4、每月一团建，员工生日可享受庆生会及生日礼物。",前进大街修正路,长春市红彩旗彩印有限公司是专业提供企业形象策划、品牌视觉战略以及各类艺术设计服务的专业机构。主要服务于一些规模较大的IT互联网、服装、酒店、房地产等企业的广告策划、创意、包装设计等。企业具有前瞻性的设计观念和视觉设计表现能力，建立了由中国美术学院一线青年设计教师、知名广告设计公司设计总监共同参与的设计队伍。我们主张与商业界人士在商业创作中相互交流碰撞，建立互补多赢的人脉关系，促进相互之间的业务合作。公司作品积累丰厚，不断得到厂家的口誉及社会的好评，作品曾多次获奖，不仅是公司的荣誉，更为客户赢得了市场和荣耀！公司主要经营企事业单位网站，企业画册、产品画册、封面设计、产品包装设计、报刊杂志广告设计、企业形象、CIS策划、设计、标志、商标设计、封套、彩页、广告宣传单等内容。
